external-hard-drive,cpu,wired-network-card,webcam,internal-hard-drive,case-accessory,memory,case,headphones,keyboard,fan-controller,optical-drive,os,sound-card,mouse,wireless-network-card,thermal-paste,speakers,power-supply,video-card,cpu-cooler,ups,motherboard,case-fan,monitor
,Intel Core i5-9400T,,,Seagate IronWolf NAS,,Corsair Vengeance RGB RT 16 GB,Azza Celesta 340F,SteelSeries Siberia V2,SteelSeries Shift Medal of Honor Edition,,,,,Razer RZ01-00770100-R3A1,,,,SeaSonic PRIME,Gigabyte WINDFORCE,ID-COOLING AURAFLOW X,,Gigabyte B560 DS3H AC,GameMax Mirage RGB,Samsung CR500
,AMD FX-4350,,,TEAMGROUP T-Force Delta RGB Lite,,Corsair Vengeance LPX 8 GB,Apex TX-606-U3,SteelSeries Siberia v2,Microsoft Sidewinder X4 (UK Layout),,,,,Razer Orochi 2013,,,,Corsair CX450M (2021),MSI GAMING X,Enermax Liqtech II 360,,MSI MAG A520M VECTOR WIFI,Vetroo ARGB120,Samsung CHG90
,Intel Xeon E3-1275 V6,,,Western Digital Red,,G.Skill Trident Z RGB 96 GB,Fractal Design Pop Air,SteelSeries Siberia v2,Razer BlackWidow 2013,,,,,Gigabyte GM-FORCE M7 THOR,,,,Silverstone Essential,Asus GT710-4H-SL-2GD5,StarTech FAN1156PWM,,Asus ROG ZENITH EXTREME ALPHA,Thermaltake Riing Plus TT Premium Edition,Asus ROG SWIFT PG278Q
,AMD Athlon II X3 435,,,Western Digital Red Plus,,G.Skill TridentZ RGB 16 GB,Corsair Carbide Series 300R,SteelSeries Flux,Razer BlackWidow Tournament Edition,,,,,Cobra Mazer,,,,EVGA SuperNOVA NEX750B,Zotac GAMING AMP Holo,Cooler Master MasterAir MA410P,,Asus PRIME B350M-A,Scythe Kaze Flex RGB,Acer KG241Q Sbiip
,Intel Core i3-3220T,,,ADATA SU630,,Corsair Vengeance LPX 16 GB,Cougar PANZER MAX-G,Turtle Beach EarForce Z SEVEN,Razer DeathStalker,,,,,Cobra Eagle Hunter,,,,SeaSonic S12II,MSI Radeon RX 6900 XT GAMING Z TRIO 16G,Deepcool GAMMAXX GTE V2,,Asus EX-A320M-GAMING,Aerocool Silent Master,X= XRGB27UHD
,Intel Core i5-4570S,,,ADATA XPG SPECTRIX S20G,,Silicon Power XPOWER Turbine 32 GB,Fractal Design Core 1000,AKG Q701B,Ducky DK9008 Shine II,,,,,Dell WM311,,,,FSP Group FSP300-60LG,Gigabyte AORUS MASTER,Akasa K32,,ASRock X370 Taichi,Thermaltake Pure A14,Lenovo Q24h-10
,Intel Core i9-9940X,,,Gigabyte GP-GSTFS31256GTND,,Patriot Viper Steel RGB 32 GB,Cooler Master Force 500,Koss KEB6K,Panasonic iKey,,,,,Kensington 72327,,,,Super Flower Leadex Platinum SE,Asus STRIX GAMING OC,Corsair H110i GTX,,Asus TUF B365M-PLUS GAMING,Apevia S 3-Pack,LG 27UK500-B
,AMD Athlon II X2 260,,,Inland 1TB TD510 NVME,,Corsair Vengeance RGB 64 GB,Corsair Crystal 570X RGB,Philips SHE2100WT28,Dell 469-4060,,,,,Microsoft Comfort Mouse 6000,,,,be quiet! Dark Power 12,Gigabyte EAGLE,EVGA CLCx 280,,Asus PRIME B550-PLUS AC-HES,MagniumGear Skiron,LG 27MK430H-B
,AMD Phenom II X2 555 Black,,,Intenso Top Performance,,Kingston Fury Beast RGB Special Edition 32 GB,Antec P20CE,Corsair Raptor H5,GAMDIAS HERMES,,,,,ROCCAT Kone XTD,,,,Antec NeoECO Gold,Asus Phoenix EVO OC,NZXT Kraken X41,,Asus MAXIMUS VII HERO,Alpenföhn Wing Boost 3 ARGB 3-Pack,LG 32MP60G-B
,AMD Athlon II X4 630,,,Seagate FireCuda 530 w/Heatsink,,OLOy Blade RGB 32 GB,Cooler Master Elite 500 ODD,Sony MDREX40LP/PNK,Razer Blackwidow 2014,,,,,Samsung AA-SM7PCPB/US,,,,Cougar GEX,MSI GAMING Z TRIO,Deepcool CASTLE 120R,,Gigabyte B660M GAMING DDR4,Thermaltake Riing,Acer KG271U Abmiipx
,Intel Pentium E5200,,,TEAMGROUP T-Force Cardea Z44L,,Patriot Viper 3 8 GB,Apevia Genesis Pro,Sony MDR-EX210B/BLU,Razer Blackwidow Ultimate 2014 Stealth Edition,,,,,SteelSeries Kinzu V2 Blue,,,,Antec CSK,MSI GAMING X TRIO,Corsair H55,,Asus X99-WS/IPMI,Thermaltake Riing,Acer B227Q A
,Intel Core i5-660,,,Crucial MX500,,ADATA XPG SPECTRIX D50 16 GB,MSI MPG GUNGNIR 110M,Cyber Acoustics AC851B,Cooler Master CM Storm Devastator Gaming Bundle,,,,,HP H4B81AA,,,,be quiet! Pure Power 11 FM 550,MSI GAMING X,Silverstone Hydrogon D120 ARGB,,Gigabyte B450M AORUS ELITE,Apevia CF4S-BK,BenQ MOBIUZ EX480UZ
,Intel Core i7-880,,,Hitachi Ultrastar He8,,TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB,Deepcool TESSERACT BF,Panasonic RP-DJS400-K,Corsair K95 RGB,,,,,Verbatim Wireless Multi-Trac Blue LED Optical Mouse,,,,Apevia Spirit,MSI GeForce RTX 3070 Ventus 3X 8G OC LHR,Thermaltake TOUGHLIQUID Ultra RGB,,Biostar B550MH,Akasa Viper,Dell S2419HGF
,Intel Core 2 Quad Q9505,,,TEAMGROUP T-Create Classic,,Corsair Vengeance 64 GB,CiT Blade ARGB,Razer Hammerhead Pro,Logitech Keyboard and Mouse,,,,,Logitech G100s,,,,Corsair VS500 (2020),Palit Dual,Antec KUHLER H2O 1250,,MSI H81M-P33,Apevia C,Samsung M7
,Intel Pentium E6700,,,PNY CS1030,,TEAMGROUP Elite 16 GB,Jonsbo N2,Razer Kraken,Aula SHIHUNZAN,,,,,ROCCAT Kone Pure Optical,,,,In Win P85,Asus TUF GAMING,be quiet! Dark Rock TF,,Gigabyte Z390 AORUS MASTER,Alpenföhn Wing Boost 3 ARGB 3-Pack,Dell E2220H
,AMD FX-8300,,,ADATA Ultimate SU650,,Kingston FURY Renegade 32 GB,be quiet! Pure Base 500,Ergoguys 3064AV-USB,Rii Mini i8,,,,,Logitech 910-002757,,,,Super Flower Leadex Platinum,Asus DUAL,Cooler Master Hyper T4,,ASRock H670 Steel Legend,Deepcool TF 120,BenQ BL2780
,Intel Xeon E3-1220,,,Samsung PM981,,TEAMGROUP T-Force Zeus 16 GB,Fractal Design Meshify 2 Lite,Ingram Micro Jabra UC Voice 550 MS Duo,SteelSeries Apex M800,,,,,Thermaltake eSPORTS Theron Yellow,,,,FSP Group Hyper M85+,Gigabyte AORUS XTREME,Deepcool CAPTAIN 240EX WHITE,,Gigabyte B550M AORUS PRO,BitFenix Spectre Pro,LG 24MK400H-B
