external-hard-drive,cpu,wired-network-card,webcam,internal-hard-drive,case-accessory,memory,case,headphones,keyboard,fan-controller,optical-drive,os,sound-card,mouse,wireless-network-card,thermal-paste,speakers,power-supply,video-card,cpu-cooler,ups,motherboard,case-fan,monitor
,,,,SanDisk Ultra II,,TEAMGROUP T-Force Dark Pro 16 GB,Enermax ECA3310A,,,,,,,,,,,,Asus ENGTX550 Ti/DI/1GD5,,,,,
,,,,SanDisk Ultra II,,TEAMGROUP T-Force Dark Pro 8 GB,Rosewill Legacy MX2-B,,,,,,,,,,,,HIS H667PNS1G,,,,,
,,,,TEAMGROUP Dark L3,,TEAMGROUP Vulcan 16 GB,Rosewill Legacy QT01-S,,,,,,,,,,,,ATI 100-505682,,,,,
,,,,Transcend TS128GSSD370S,,Corsair Vengeance LPX 64 GB,Rosewill Legacy U2-S,,,,,,,,,,,,ATI 100-505649,,,,,
,,,,SanDisk Z400s,,Corsair Vengeance LED 16 GB,Rosewill Legacy V6-B,,,,,,,,,,,,ATI 100-505610,,,,,
,,,,SanDisk Z400s,,GeIL EVO POTENZA 8 GB,Xigmatek Assassin II,,,,,,,,,,,,Galaxy 67NPH6DV6KXZ,,,,,
,,,,Seagate ST1200MM0158,,Corsair Vengeance RGB 16 GB,CFI Prime 211,,,,,,,,,,,,MSI R6850-PMD1GD5,,,,,
,,,,Seagate Enterprise NAS,,Corsair Vengeance LED 16 GB,HEC 63R3BR,,,,,,,,,,,,Sapphire 100352SR,,,,,
,,,,Hitachi Ultrastar C10K1800,,Corsair Vengeance LED 32 GB,Logisys CS369BK,,,,,,,,,,,,Sapphire 100352OCSR,,,,,
,,,,Toshiba Q300,,TEAMGROUP T-Force Night Hawk 16 GB,Rosewill Legacy U3-B,,,,,,,,,,,,HIS H787QN2G2M,,,,,
,,,,Seagate Enterprise NAS,,TEAMGROUP T-Force Xtreem 32 GB,Rosewill Legacy U3-B,,,,,,,,,,,,Sapphire 11197-06-40G,,,,,
,,,,Eluktro Pro-X Performance,,TEAMGROUP T-Force Dark 64 GB,Rosewill Legacy V3 Plus-B,,,,,,,,,,,,HIS H797QM3G2M,,,,,
,,,,Eluktro Pro Performance,,TEAMGROUP T-Force Dark 32 GB,Rosewill Legacy V4-B,,,,,,,,,,,,XFX FX-785A-CNFC,,,,,
,,,,Eluktro Pro Performance,,TEAMGROUP T-Force Dark 64 GB,Rosewill Legacy V4-B,,,,,,,,,,,,Diamond 7970PE53GDD,,,,,
,,,,Mushkin Atlas,,TEAMGROUP T-Force Dark 32 GB,Rosewill Legacy V6-S,,,,,,,,,,,,HIS H787F2G2M,,,,,
,,,,Mushkin Atlas,,Kingston HyperX Fury 16 GB,Rosewill THRONE-G-Window,,,,,,,,,,,,EVGA 03G-P3-1594-KR,,,,,
,,,,Toshiba Q300 Pro,,Mushkin Essentials 16 GB,Supermicro CSE-732G-000B,,,,,,,,,,,,PNY VCGGTX570XPB-CG,,,,,
,,,,Seagate Momentus 5400.3,,Kingston ValueRAM 8 GB,Supermicro CSE-732G-500B,,,,,,,,,,,,Galaxy 44GPF4DC3FFZ,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,Corsair Vengeance LPX 16 GB,Silverstone GD04B-USB3.0,,,,,,,,,,,,PNY VCGGTX580XPB-CG,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,KFA2 Hall Of Fame Extreme 16 GB,Xigmatek Aquila,,,,,,,,,,,,ECS NGT430C-2GQKL-F,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,Klevv BOLT 4 GB,Apex EL-660,,,,,,,,,,,,Zotac ZT-50901-10M,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,G.Skill Ripjaws V 32 GB,Wesena HTPC-e4-v3-B,,,,,,,,,,,,MSI R7850-Power-Edition-2GD5-OC,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,ADATA XPG GAMMIX D10 8 GB,DIYPC HTPC-MiniCube,,,,,,,,,,,,EVGA 01G-P3-2616-KR,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,ADATA XPG GAMMIX D10 16 GB,Gigabyte GZ-G3 PLUS,,,,,,,,,,,,EVGA 01G-P3-2631-KR,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,ADATA XPG GAMMIX D10 16 GB,nMEDIAPC HTPC 2800B,,,,,,,,,,,,Galaxy 68NPH6DT6EXZ,,,,,
,,,,Hitachi Ultrastar Archive Ha10,,ADATA XPG GAMMIX D10 4 GB,Thermaltake Urban R31,,,,,,,,,,,,EVGA 01G-P3-2621-KR,,,,,
,,,,OCZ Trion 100,,ADATA XPG GAMMIX D10 16 GB,Thermaltake Urban S1,,,,,,,,,,,,PNY VCGGTX670XPB,,,,,
,,,,Hitachi Ultrastar He8,,ADATA XPG GAMMIX D10 8 GB,Cooler Master K280 USB3.0,,,,,,,,,,,,EVGA 02G-P4-3686-KR,,,,,
,,,,Western Digital RE,,ADATA XPG GAMMIX D10 16 GB,Thermaltake SD101,,,,,,,,,,,,Galaxy 63TGS8HX3VVZ,,,,,
,,,,Kingston FURY,,Patriot Viper RGB 16 GB,Parvum Systems S2.0,,,,,,,,,,,,Asus GT620-1GD3-L,,,,,
,,,,PNY CS2211,,Corsair Vengeance LPX 16 GB,Parvum Systems S2.0,,,,,,,,,,,,Galaxy 62TPF4DC3FNZ,,,,,
,,,,PNY CS2211,,TEAMGROUP T-Force XCalibur RGB SE 16 GB,Parvum Systems S2.0,,,,,,,,,,,,EVGA 02G-P4-2683-KR,,,,,
,,,,OCZ Vector 180,,Crucial CT4G4WFS8266 4 GB,Parvum Systems S2.0,,,,,,,,,,,,VisionTek 900548,,,,,
,,,,OCZ Vector 180,,Corsair Dominator Platinum 32 GB,Parvum Systems S2.0,,,,,,,,,,,,Sapphire 100352FLEX,,,,,
,,,,Avexir V1,,Corsair Vengeance LED 16 GB,Parvum Systems S2.0,,,,,,,,,,,,HIS H777QN1G2M,,,,,
,,,,Patriot PBT120GS25SSDR,,Crucial Ballistix Sport AT 64 GB,Parvum Systems S2.0,,,,,,,,,,,,MSI R7770 PE1GD5/OC,,,,,
,,,,Intel 750,,Crucial Ballistix Sport AT 32 GB,Parvum Systems S2.0,,,,,,,,,,,,HIS H785QN2G2M,,,,,
,,,,MyDigitalSSD BP5e Slim 7,,Corsair Vengeance LED 32 GB,Parvum Systems S2.0,,,,,,,,,,,,PowerColor AX7870 2GBD5-6D,,,,,
,,,,Mushkin ECO3,,G.Skill Trident Z 32 GB,Parvum Systems S2.0,,,,,,,,,,,,PowerColor AX7850 2GBD5-DH,,,,,
,,,,Intel 540s,,G.Skill F2-6400CL5D-4GBNT 4 GB,BitFenix Outlaw,,,,,,,,,,,,PNY VCGGT5201XPB-CG,,,,,
,,,,Intel 540s,,Corsair Vengeance RGB Pro 64 GB,BitFenix Outlaw USB3.0,,,,,,,,,,,,Zotac ZT-60405-10L,,,,,
,,,,Intel 540s,,Patriot Signature Line 4 GB,BitFenix Outlaw USB3.0,,,,,,,,,,,,HIS H697Q2G2M,,,,,
,,,,Intel 540s,,Corsair Vengeance RGB Pro 128 GB,BitFenix Outlaw USB3.0,,,,,,,,,,,,Gigabyte GV-N440-1GI,,,,,
,,,,Intel 540s,,Corsair Vengeance RGB Pro 128 GB,BitFenix Neos,,,,,,,,,,,,PowerColor AX7750 1GBD5-NH,,,,,
,,,,Intel 540s,,GeIL EVO FORZA 32 GB,BitFenix Phenom M Nvidia Edition,,,,,,,,,,,,XFX HD-657X-ZDF2,,,,,
,,,,Zotac T500,,ADATA Premier 16 GB,Cooler Master K550,,,,,,,,,,,,VisionTek 900530,,,,,
,,,,Western Digital Caviar SE,,Crucial Ballistix Tactical Tracer 8 GB,DIYPC FM08,,,,,,,,,,,,Gigabyte GV-R667D3-2GI,,,,,
,,,,Western Digital RE,,Crucial CT2K2G4SFS624A 4 GB,DIYPC FM08,,,,,,,,,,,,Zotac ZT-40708-10L,,,,,
,,,,Silicon Power S70,,Klevv Fit 16 GB,HEC Voyager,,,,,,,,,,,,Gigabyte GV-R645-1GI,,,,,
,,,,Silicon Power S70,,G.Skill Trident Z Royal 16 GB,Rosewill Legacy W1-B,,,,,,,,,,,,VisionTek 900447,,,,,
,,,,Intel 540s,,Crucial Ballistix Tactical Tracer 8 GB,Rosewill Legacy W1-B-Window,,,,,,,,,,,,Zotac ZT-50605-10L,,,,,
,,,,Patriot Torch LE,,Corsair Vengeance RGB Pro 32 GB,Rosewill Legacy W1-S,,,,,,,,,,,,Zotac ZT-60201-10L,,,,,
,,,,Patriot Torch LE,,Corsair Vengeance LPX 128 GB,Aerocool DS Cube,,,,,,,,,,,,MSI N640GT-MD2GD3/OC,,,,,
,,,,Patriot Torch LE,,Kingston HyperX Predator 32 GB,Aerocool DS Cube,,,,,,,,,,,,Jaton Video-PX430GT-LX,,,,,
,,,,Patriot Torch LE,,Crucial Ballistix Sport LT 16 GB,Aerocool DS Cube,,,,,,,,,,,,PNY VCGGT640XPB,,,,,
,,,,Plextor M7V,,Crucial Ballistix Sport AT 64 GB,Aerocool DS 200,,,,,,,,,,,,Galaxy 68NQH6DN6DXZ,,,,,
,,,,MyDigitalSSD BP5e Slim 7,,Crucial Ballistix Sport LT 16 GB,Xigmatek Nebula,,,,,,,,,,,,ATI 100-505602,,,,,
,,,,Intel 540s,,Crucial Ballistix Sport LT 16 GB,Lian Li PC-Q36W,,,,,,,,,,,,PNY VCGGT620XPB,,,,,
,,,,ADATA SP550,,Crucial Ballistix Sport LT 32 GB,Deepcool STEAM CASTLE,,,,,,,,,,,,Gigabyte GV-N610SL-1GI,,,,,
,,,,Intel 750,,Crucial Ballistix Sport LT 32 GB,Zalman T1U3,,,,,,,,,,,,Asus HD7770-DCT-1GD5,,,,,
,,,,Plextor M6V,,Crucial Ballistix Sport LT 8 GB,Lian Li PC-Q33,,,,,,,,,,,,PowerColor AX7770 1GBD5-DH,,,,,
,,,,Plextor M6V,,Crucial Ballistix Sport LT 8 GB,Athenatech SS-PS08,,,,,,,,,,,,XFX GT630NZDF2,,,,,
,,,,Plextor M6V,,GeIL SUPER LUCE RGB SYNC 32 GB,BitFenix Pandora,,,,,,,,,,,,EVGA 02G-P4-2676-KR,,,,,
,,,,MyDigitalSSD 80mm BP5e,,Corsair Dominator Platinum RGB 32 GB,BitFenix Pandora Core,,,,,,,,,,,,EVGA 02G-P4-3684-KR,,,,,
,,,,MyDigitalSSD 80mm BP5e,,G.Skill Trident Z Royal 32 GB,BitFenix Pandora Core,,,,,,,,,,,,ECS NGT440-1GQR-F2,,,,,
,,,,MyDigitalSSD 80mm BP5e,,G.Skill Trident Z Royal 64 GB,BitFenix Pandora,,,,,,,,,,,,ECS NGT430C-1GQM-F2,,,,,
,,,,Corsair Neutron XTi,,GeIL EVO SPEAR 16 GB,BitFenix Pandora Core,,,,,,,,,,,,EVGA 04G-P4-3685-KR,,,,,
,,,,Corsair Neutron XTi,,GeIL EVO POTENZA 16 GB,Lian Li PC-A61,,,,,,,,,,,,ECS NGT520C-1GQM-F2,,,,,
,,,,Avexir E100,,G.Skill Trident Z 16 GB,Lian Li PC-A61,,,,,,,,,,,,Galaxy 61TGS4HX2LTX,,,,,
,,,,Avexir E100,,TEAMGROUP Elite Plus 16 GB,Lian Li PC-A79,,,,,,,,,,,,MSI R7850 PE 2GD5/OC,,,,,
,,,,Avexir E100,,G.Skill Trident Z RGB 16 GB,Lian Li PC-Q01,,,,,,,,,,,,MSI TWIN FROZR II,,,,,
,,,,Hitachi LYSB00TQ7YJ4G-ELECTRNCS,,Kingston KSM24RS8/8MEI 8 GB,Lian Li PC-Q01,,,,,,,,,,,,MSI N640GT-MD1GD3,,,,,
,,,,Plextor M8Pe,,OLOy MD4U082417IBSA 8 GB,Lian Li PC-Q35A,,,,,,,,,,,,Zotac ZT-60501-10L,,,,,
,,,,Plextor M8Pe,,Corsair Dominator Platinum RGB 16 GB,Lian Li PC-V358,,,,,,,,,,,,EVGA 04G-P4-3688-KR,,,,,
,,,,Plextor M8Pe,,OLOy MD4U082417BBDA 16 GB,Lian Li PC-V359W,,,,,,,,,,,,Galaxy 68NPH6DV6AXX,,,,,
,,,,Plextor M8Pe,,OLOy MD4U083016IADA 16 GB,Lian Li PC-Q36W,,,,,,,,,,,,EVGA 02G-P4-2685-KR,,,,,
,,,,Plextor M8Pe,,TEAMGROUP T-Force Xtreem 16 GB,Lian Li PC-Q36W,,,,,,,,,,,,HIS H785QNT2G2M,,,,,
,,,,Plextor M7V,,TEAMGROUP T-Force Vulcan Z 16 GB,XFX Type-01 Series Bravo Edition,,,,,,,,,,,,HIS H795QT3G2M,,,,,
,,,,Plextor M7V,,TEAMGROUP T-Force Vulcan Z 8 GB,In Win BL641.FH300TB3F,,,,,,,,,,,,HIS H775P1GD,,,,,
,,,,Mushkin TRIACTOR,,TEAMGROUP T-Force Vulcan Z 32 GB,In Win BL672.FH300TB3F,,,,,,,,,,,,XFX FX-785A-ZNFC,,,,,
,,,,Kingston Predator,,Kingston HyperX Predator 64 GB,In Win G7,,,,,,,,,,,,Asus HD7870-DC2TG-2GD5-V2,,,,,
,,,,MyDigitalSSD BPX,,Kingston HyperX Predator 64 GB,In Win IW-BQ656T.AD120TB3,,,,,,,,,,,,Galaxy 67NPH6DV5ZVX,,,,,
,,,,Intel Pro 5400s,,G.Skill Trident Z Royal 32 GB,DIYPC MA01,,,,,,,,,,,,Sapphire Toxic,,,,,
,,,,Patriot TORCH,,G.Skill Trident Z Royal 32 GB,Rosewill I3-397,,,,,,,,,,,,XFX FX-787A-CDBC,,,,,
,,,,Addlink S10,,Corsair Vengeance LPX 256 GB,Silverstone FT05,,,,,,,,,,,,XFX HD-685A-ZCFC,,,,,
,,,,Toshiba N300,,TEAMGROUP T-Force Vulcan Z 16 GB,Silverstone FT05,,,,,,,,,,,,XFX FX797GTDFC,,,,,
,,,,Intel Pro 6000p,,TEAMGROUP T-Force Vulcan Z 4 GB,Nanoxia Deep Silence 5,,,,,,,,,,,,EVGA 01G-P3-1464-KR,,,,,
,,,,TEAMGROUP T-Force Cardea,,OLOy MD4U083016BFDA 16 GB,Aerocool Strike-X Xtreme,,,,,,,,,,,,Galaxy GTX660Ti-OC/3GD5,,,,,
,,,,Hyundai Technology Cobalt,,OLOy MD4U083618BFDA 16 GB,Aerocool Strike-X Xtreme,,,,,,,,,,,,Galaxy GTX660Ti-OC/2GD5,,,,,
,,,,Hyundai Technology Cobalt,,Patriot Signature Premium 16 GB,Aerocool Strike-X Advance,,,,,,,,,,,,Galaxy GTX660Ti-2GD5,,,,,
,,,,Hyundai Technology Cobalt,,Crucial Ballistix Tactical Tracer RGB 16 GB,Aerocool Strike-X Advance,,,,,,,,,,,,EVGA 02G-P4-3662-KR,,,,,
,,,,Hyundai Technology Sapphire,,Crucial Ballistix Tactical Tracer RGB 32 GB,Cooltek W1,,,,,,,,,,,,EVGA 02G-P4-3665-KR,,,,,
,,,,Corsair Neutron NX500,,Crucial Ballistix Tactical Tracer RGB 8 GB,Cooltek W1,,,,,,,,,,,,Galaxy 66NNH7DV6WXZ,,,,,
,,,,Drevo ES,,Kingston HyperX Fury RGB 32 GB,Cooltek W1,,,,,,,,,,,,Galaxy 66NPH7DV6VXZ,,,,,
,,,,Drevo ES,,Kingston HyperX Fury RGB 8 GB,Cooltek W1,,,,,,,,,,,,Sapphire 100354FLEX,,,,,
,,,,TEAMGROUP L3 EVO,,Kingston HyperX Fury RGB 64 GB,Cooler Master K280,,,,,,,,,,,,XFX FX-785A-CNJC,,,,,
,,,,Hitachi H3IK40003272SW,,Corsair Vengeance RGB Pro 16 GB,Cooler Master K350,,,,,,,,,,,,HIS H775FN1G,,,,,
,,,,Seagate Enterprise NAS,,TEAMGROUP T-Force Dark Z 16 GB,DIYPC FM18,,,,,,,,,,,,Sapphire 100355L,,,,,
,,,,Seagate SkyHawk,,TEAMGROUP T-Force Dark Z 16 GB,DIYPC FM18,,,,,,,,,,,,Asus HD7750-DCSL-1GD5,,,,,
,,,,Patriot Spark,,Patriot Viper RGB 16 GB,DIYPC HTPC-Cube,,,,,,,,,,,,HIS H797QMG3G,,,,,
,,,,Patriot Spark,,GeIL EVO SPEAR 32 GB,DIYPC Solar-M1,,,,,,,,,,,,HIS H657FN2G,,,,,
,,,,Patriot Spark,,GeIL EVO POTENZA 16 GB,DIYPC Solar-M1,,,,,,,,,,,,Galaxy 64TPF8HX6FTZ,,,,,
,,,,ADATA XPG SX950,,Corsair Dominator Platinum Special Edition CONTRAST 32 GB,Deepcool STEAM CASTLE,,,,,,,,,,,,Gigabyte GV-N680WF3-2GD,,,,,
,,,,MyDigitalSSD SBX,,ADATA XPG GAMMIX D30 32 GB,Deepcool STEAM CASTLE,,,,,,,,,,,,Galaxy 67NQH6DN6KXZ,,,,,
,,,,MyDigitalSSD SBX,,ADATA XPG SPECTRIX D41 32 GB,Deepcool STEAM CASTLE,,,,,,,,,,,,Zotac AMP,,,,,
,,,,MyDigitalSSD SBX,,ADATA XPG GAMMIX D30 16 GB,Gigabyte GZ-X7B-U3NP,,,,,,,,,,,,EVGA 02G-P3-2629-KR,,,,,
,,,,Hitachi Ultrastar,,ADATA XPG GAMMIX D30 16 GB,Gigabyte GZ-ZGS4B5,,,,,,,,,,,,Sapphire 100355OCL,,,,,
,,,,Hitachi HGST Ultrastar C10K1800 HUC101830CSS200 (0B28810) 300GB 10520 RPM,,G.Skill Trident Z Royal 64 GB,Gigabyte GZ-ZGS5B5,,,,,,,,,,,,VisionTek 900568,,,,,
,,,,Hitachi Ultrastar,,OLOy MD4U163216CFDA 32 GB,Gigabyte GZ-ZHSGWJ,,,,,,,,,,,,VisionTek 900557,,,,,
,,,,Hitachi Ultrastar,,OLOy MD4U163016CFDA 32 GB,Gigabyte GZ-ZHSHWW,,,,,,,,,,,,HIS H667FR2G,,,,,
,,,,Hitachi Ultrastar,,G.Skill Trident Z Royal 32 GB,Gigabyte GZ-ZHSMW8,,,,,,,,,,,,Diamond 7850PE52GV2,,,,,
,,,,Hitachi 0F22941,,Corsair Vengeance LPX 256 GB,Lian Li PC-K69,,,,,,,,,,,,Zotac ZT-60601-10L,,,,,
,,,,Hitachi Ultrastar,,G.Skill Trident Z Royal 128 GB,Lian Li PC-Q33,,,,,,,,,,,,ECS GT630A-1GR3-QFT,,,,,
,,,,Hitachi 0F23006,,Crucial Ballistix 64 GB,NZXT Phantom 240,,,,,,,,,,,,PowerColor AX7950 3GBD5-2DHV4,,,,,
,,,,Hitachi 0F23090,,Crucial Ballistix RGB 64 GB,NZXT Phantom 240,,,,,,,,,,,,XFX GT-610N-ZNF2,,,,,
,,,,Hitachi Ultrastar,,G.Skill Trident Z Royal 128 GB,Raidmax Scorpio V,,,,,,,,,,,,XFX GT640NCDF3,,,,,
,,,,Hitachi Ultrastar He8,,G.Skill Trident Z Royal 64 GB,RAIJINTEK Metis,,,,,,,,,,,,XFX GT-610N-CNF2,,,,,
,,,,Hitachi Ultrastar He8,,G.Skill Trident Z Royal 256 GB,RAIJINTEK Metis,,,,,,,,,,,,VisionTek 900549,,,,,
,,,,Hitachi Ultrastar He8,,GeIL GeIL EVO X II 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model GEXSB416GB3600C18ADC 16 GB,RAIJINTEK Metis,,,,,,,,,,,,Zotac ZT-60404-10L,,,,,
,,,,Hitachi Ultra,,OLOy MD4U163216CJQA 64 GB,RAIJINTEK Metis,,,,,,,,,,,,Zotac ZT-60302-10P,,,,,
,,,,Hitachi 0F27406,,OLOy MD4U0836180BHRDA 16 GB,RAIJINTEK Metis,,,,,,,,,,,,Zotac ZT-60304-10P,,,,,
,,,,Hitachi Ultrastar He10,,OLOy MD4U162417BFDA 32 GB,RAIJINTEK Metis,,,,,,,,,,,,Jaton Video-PX610GT-EX,,,,,
,,,,Hitachi 0F30144,,Samsung Samsung DDR4-2933 32GB/2Gx4 ECC/REG CL21 Server Memory 32 GB,RAIJINTEK Metis,,,,,,,,,,,,Sapphire 100355-1GOCL,,,,,
,,,,Avexir S100,,GeIL EVO POTENZA 16 GB,DIYPC Zondda,,,,,,,,,,,,XFX GT-620N-ZNF2,,,,,
,,,,Avexir S100,,TEAMGROUP Team T-FORCE VULCAN Z 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model TLZRD464G3000HC16CDC01 64 GB,BitFenix Aegis,,,,,,,,,,,,HIS H795QC3G2M,,,,,
,,,,Avexir S100,,TEAMGROUP T-Force Xtreem ARGB 16 GB,BitFenix Aegis,,,,,,,,,,,,XFX GT-620N-CNF2,,,,,
,,,,Avexir S100,,OLOy WarHawk RGB 64 GB,Silverstone KL05B,,,,,,,,,,,,EVGA 03G-P4-3661-KR,,,,,
,,,,Avexir S100,,TEAMGROUP T-Force Vulcan Z 32 GB,Silverstone KL05B,,,,,,,,,,,,Galaxy 66NPH7DN7DXZ,,,,,
,,,,Avexir S100,,TEAMGROUP T-Force Vulcan Z 32 GB,Sentey Ss6-2441,,,,,,,,,,,,Galaxy 66NPH7DN6ZVZ,,,,,
,,,,Avexir S100,,G.Skill Trident Z 64 GB,Sentey Ss6-2441,,,,,,,,,,,,MSI N650 PE 1GD5/OC,,,,,
,,,,Avexir S100,,Micron MT8JTF25664AZ-1G4D1 2 GB,Azza Nova 8000,,,,,,,,,,,,EVGA 02G-P4-2651-KR,,,,,
,,,,Avexir S100,,G.Skill Trident Z Royal 16 GB,Azza ZEN 8100,,,,,,,,,,,,MSI N650-1GD5/OC,,,,,
,,,,Avexir S100,,G.Skill Trident Z Royal 16 GB,BitFenix Aegis Core,,,,,,,,,,,,Zotac ZT-61001-10M,,,,,
,,,,Avexir S100,,G.Skill Trident Z Neo 16 GB,BitFenix Aegis Core,,,,,,,,,,,,ECS EGT640A-2GR3-YBF(v1.0),,,,,
,,,,Avexir S100,,G.Skill Trident Z Neo 16 GB,BitFenix Aegis,,,,,,,,,,,,ECS NGTX560SE-1GPLI-F,,,,,
,,,,Plextor M9Pe,,Apacer AU 8 GB,BitFenix Aegis,,,,,,,,,,,,Asus HD7750-T-1GD5,,,,,
,,,,Plextor M9Pe,,Apacer AU 8 GB,BitFenix Aegis,,,,,,,,,,,,ECS PGTX680AX-2GR5-WF(V1.0),,,,,
,,,,TCSunBow X3,,Apacer AS 8 GB,BitFenix Aegis,,,,,,,,,,,,EVGA 02G-P3-2639-KR,,,,,
,,,,Kingston UV500B,,Neo Forza MARS 16 GB,BitFenix Aegis,,,,,,,,,,,,ECS GT610C-1GR3-QFT(v1.0),,,,,
,,,,TEAMGROUP T-Force Delta RGB,,TEAMGROUP T-Force Dark Z 64 GB,BitFenix Aegis Core,,,,,,,,,,,,Gigabyte GV-N65TOC-1GI,,,,,
,,,,VisionTek PRO,,Klevv CRAS X RGB 16 GB,DIYPC DIY-BJ05,,,,,,,,,,,,MSI N650Ti PE 1GD5/OC,,,,,
,,,,VisionTek PRO,,G.Skill Trident Z5 32 GB,Raidmax Troy,,,,,,,,,,,,PowerColor AX7750 1GBK3-H,,,,,
,,,,VisionTek PRO,,Acer Predator Apollo RGB 32 GB,Silverstone KL06B,,,,,,,,,,,,Sapphire 100351SR,,,,,
,,,,Eluktronics TRO-500GB-PRO-X,,Acer Predator Talos 8 GB,Logisys CS6801BK,,,,,,,,,,,,Zotac ZT-60204-20L,,,,,
,,,,Toshiba RC100,,Acer Predator Talos 16 GB,Sentey GS-6090,,,,,,,,,,,,EVGA 02G-P4-3651-KR,,,,,
,,,,Drevo X1 Pro,,OLOy Blade RGB 16 GB,RAIJINTEK Aeneas,,,,,,,,,,,,EVGA 01G-P4-3650-KR,,,,,
,,,,Drevo X1 Pro,,G.Skill Trident Z Royal Elite 32 GB,RAIJINTEK Aeneas,,,,,,,,,,,,EVGA 02G-P4-3664-KR,,,,,
,,,,ADATA XPG SX850,,G.Skill Trident Z Royal 32 GB,Lian Li PC-O5,,,,,,,,,,,,Diamond 6450PE31GSS,,,,,
,,,,MyDigitalSSD BPX Pro,,OLOy Blade RGB 16 GB,Cooltek CoolCube,,,,,,,,,,,,Gigabyte GV-R785OC-1GD,,,,,
,,,,MyDigitalSSD BPX Pro,,V-Color Manta XPrism RGB 32 GB,Apevia X-QPack3,,,,,,,,,,,,HIS H785Q2G2M,,,,,
,,,,Toshiba N300,,G.Skill Ripjaws V 16 GB,Aerocool DS 200,,,,,,,,,,,,PowerColor AX7750 1GBD5-HL,,,,,
,,,,Toshiba N300,,G.Skill Ripjaws V 32 GB,BitFenix Neos,,,,,,,,,,,,HIS H775FS2G,,,,,
,,,,TEAMGROUP T-Force Delta Phantom Gaming RGB,,G.Skill Trident Z Neo (For AMD Ryzen) 64 GB,BitFenix Neos,,,,,,,,,,,,Asus GT640-1GD3-L,,,,,
,,,,TEAMGROUP T-Force Delta Phantom Gaming RGB,,G.Skill TridentZ RGB 64 GB,BitFenix Aegis,,,,,,,,,,,,Sapphire 100352FLEX-2,,,,,
,,,,Mushkin PILOT,,HP V10 RGB 16 GB,Cooler Master HAF XM,,,,,,,,,,,,Galaxy 68NPH6DT6ENZ,,,,,
,,,,Seagate Enterprise Performance,,HP V8 RGB 16 GB,Lian Li PC-O6S,,,,,,,,,,,,Zotac ZT-60602-10L,,,,,
,,,,Seagate Enterprise Performance,,HP V8 RGB 32 GB,Sentey Ss1-2429,,,,,,,,,,,,Zotac ZT-60203-10L,,,,,
,,,,Seagate Enterprise Capacity,,Kingston FURY 32 GB,Sentey Ss1-2429,,,,,,,,,,,,HIS H785QN1G2M,,,,,
,,,,Seagate Enterprise Capacity,,GeIL Orion RGB AMD Edition 16 GB,Sentey Ss1-2429,,,,,,,,,,,,VisionTek 900431,,,,,
,,,,Seagate Enterprise Performance,,GeIL Orion RGB AMD Edition 8 GB,Sentey Ss1-2429,,,,,,,,,,,,HIS H785F1G2M,,,,,
,,,,Seagate Enterprise Capacity,,GeIL Orion RGB AMD Edition 8 GB,Sentey Ss1-2429,,,,,,,,,,,,PNY VCGGTX680XPB-S,,,,,
,,,,Seagate Enterprise Capacity,,GeIL Orion RGB AMD Edition 8 GB,Cooltek W2,,,,,,,,,,,,Asus GTX650TI-DC2O-1GD5,,,,,
,,,,Seagate Enterprise Capacity,,GeIL Orion RGB AMD Edition 8 GB,DIYPC Adventurer-I8,,,,,,,,,,,,Asus GTX650TI-O-1GD5,,,,,
,,,,Seagate Enterprise Capacity,,GeIL EVO Potenza AMD Edition 64 GB,DIYPC Adventurer-I8,,,,,,,,,,,,Asus HD7950-3GD5,,,,,
,,,,Seagate Enterprise Capacity,,GeIL Polaris RGB 16 GB,DIYPC Adventurer-I8,,,,,,,,,,,,EVGA 02G-P4-2660-KR,,,,,
,,,,Seagate Enterprise Capacity,,GeIL Polaris RGB 32 GB,Raidmax Element,,,,,,,,,,,,EVGA 02G-P4-2663-KR,,,,,
,,,,Seagate Enterprise Capacity,,Addlink Spider 4 8 GB,Raidmax Element,,,,,,,,,,,,EVGA 02G-P4-3667-KR,,,,,
,,,,Seagate Enterprise Capacity,,Addlink Spider X4 8 GB,Raidmax Element,,,,,,,,,,,,EVGA 03G-P4-2665-KR,,,,,
,,,,Seagate Enterprise Capacity,,TEAMGROUP T-Force Vulcan Z 32 GB,Raidmax Element,,,,,,,,,,,,EVGA FTW,,,,,
,,,,Seagate Nytro Enterprise,,TEAMGROUP T-Force Delta RGB 16 GB,Raidmax Element,,,,,,,,,,,,EVGA FTW+,,,,,
,,,,Seagate Nytro Enterprise,,TEAMGROUP T-Force Delta RGB 16 GB,Silverstone CS01,,,,,,,,,,,,HIS H687FT1G2M,,,,,
